ethnicity,number_homeless
Total,"2,383"
White,539
White: English / Welsh / Scottish / Northern Irish / British,223
White: Irish,30
White: Gypsy or Irish Traveller,1
Any other White ethnic group,285
Black,757
Black / African / Caribbean / Black British: African,344
Black / African / Caribbean / Black British: Caribbean,228
Any other Black / African / Caribbean background,185
Asian,101
Asian / Asian British: Pakistani,6
Asian / Asian British: Indian,15
Asian / Asian British: Bangladeshi,19
Asian / Asian British: Chinese,7
Any other Asian background,54
Mixed/multiple,116
Mixed / Multiple ethnic groups: White and Black Caribbean,50
Mixed / Multiple ethnic groups: White and Black African,13
Mixed / Multiple ethnic groups: White and Asian,4
Any other Mixed / Multiple ethnic background,49
Other,186
Other ethnic group: Arab,12
Any other ethnic group,174
Unknown,684
